id_kabkota,kab_kota,prov,total_prod,loss_drought_nonclimate_rp25,loss_drought_nonclimate_rp50,loss_drought_nonclimate_rp100,loss_drought_nonclimate_rp250,loss_drought_climate_rp25,loss_drought_climate_rp50,loss_drought_climate_rp100,loss_drought_climate_rp250,aal_drought_nonclimate_v2,aal_drought_climate_v2
1105,Aceh Barat,Aceh,63136.39,298900280870.79,295257717037.7919,292582572665.6879,289972306324.8549,288042018285.25665,280024933213.1414,273898371879.69916,267747326595.88757,11788335289.874266,11146212442.258495
1112,Aceh Barat Daya,Aceh,68350.84,,,,,,,,,,
1106,Aceh Besar,Aceh,200097.22,1035249419109.3951,1035813937598.6594,1036170939999.5013,1036481632541.7179,1033174315662.858,1033526991535.8615,1033763837167.5756,1033981813526.6506,41434442202.86188,41342631421.693665
1114,Aceh Jaya,Aceh,42784.33,,,,,,,,,,
1101,Aceh Selatan,Aceh,30288.69,,,,,,,,,,
1110,Aceh Singkil,Aceh,2203.58,,,,,,,,,,
1116,Aceh Tamiang,Aceh,59902.25,241880505286.5839,241719820125.23517,241611995326.6664,241513803745.8609,219203108942.90576,213201512437.08585,208943564950.27744,204885706879.13504,9668094943.578726,8495802243.74151
1104,Aceh Tengah,Aceh,13757.16,,,,,,,,,,
1102,Aceh Tenggara,Aceh,69478.52,275539781681.5645,274893247829.0965,274457635482.3198,274059704620.61542,263123113095.33234,256137268724.60147,251177031131.875,246450953359.01984,10992875550.454958,10207863084.390486
1103,Aceh Timur,Aceh,130151.43,653796720415.0315,653958526461.3185,654066327624.2908,654163960037.1366,633793527573.4283,630394829115.5648,627902162367.8761,625456023222.0057,26159023442.32438,25195267173.964806
1108,Aceh Utara,Aceh,323839.47,1615106863272.4897,1616192222269.7964,1616910387065.1938,1617557401816.8997,1571720193253.2288,1562448030443.323,1555678212624.1755,1549066128657.7668,64652136876.011696,62442810990.7799
1117,Bener Meriah,Aceh,1715.62,,,,,,,,,,
1111,Bireuen,Aceh,137057.19,653632529916.3289,652023487822.8066,650922589855.8842,649905021486.7188,624074872295.8937,613530326561.1583,605811919350.9045,598291033453.5659,26073393485.759495,24478236210.35851
1113,Gayo Lues,Aceh,28634.5,,,,,,,,,,
1171,Banda Aceh,Aceh,72.97,,,,,,,,,,
1174,Langsa,Aceh,7101.39,,,,,,,,,,
1173,Lhokseumawe,Aceh,9899.07,,,,,,,,,,
1172,Sabang,Aceh,0.0,,,,,,,,,,
1175,Subulussalam,Aceh,244.58,,,,,,,,,,
1115,Nagan Raya,Aceh,32185.63,126483033776.58966,122496903584.20018,119627350928.72153,116870672879.28787,114617017568.34085,105800409246.76266,99261322132.10583,92856470490.89975,4877397409.1136875,4177262184.8779936
1107,Pidie,Aceh,188438.42,949439080264.8292,945871429963.4232,943273287283.6392,940754060337.6699,925953543258.0555,915955356515.6736,908377770279.2887,900810186242.8195,37813926972.732445,36571559246.2497
1118,Pidie Jaya,Aceh,88469.06,,,,,,,,,,
1109,Simeulue,Aceh,11648.15,,,,,,,,,,
5103,Badung,Bali,,,,,,,,,,,
5106,Bangli,Bali,,,,,,,,,,,
5108,Buleleng,Bali,,,,,,,,,,,
5104,Gianyar,Bali,,,,,,,,,,,
5101,Jembrana,Bali,,,,,,,,,,,
5107,Karangasem,Bali,,,,,,,,,,,
5105,Klungkung,Bali,,,,,,,,,,,
5171,Kota Denpasar,Bali,,,,,,,,,,,
5102,Tabanan,Bali,,,,,,,,,,,
3672,Cilegon,Banten,9101.37,,,,,,,,,,
3673,Serang,Banten,55987.47,215868835822.2228,219785059017.85934,222300674195.16895,224515951820.55844,204066921020.77713,207727239932.73468,210115042352.5342,212249782377.3918,8805481299.79538,8323246624.660809
3671,Tangerang,Banten,3424.91,,,,,,,,,,
3674,Tangerang Selatan,Banten,0.0,,,,,,,,,,
3602,Lebak,Banten,430413.6,581448354086.3773,650341257372.2998,695143819778.2035,734964956058.3394,496231154772.4373,558875979529.8019,599612419410.2393,635872305114.5924,26275507652.082275,22593456731.755463
3601,Pandeglang,Banten,553202.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3604,Serang,Banten,446654.3,1691810624765.6194,1723583779149.7922,1744023537098.5535,1762043276253.1191,1593518398996.0024,1621498592532.6145,1639858602305.0222,1656354570846.5754,69058354165.46335,64971013692.31545
3603,Tangerang,Banten,289798.4,1211898693950.8018,1227503538854.9087,1237516226409.979,1246326260546.943,1153045948504.1448,1164365978517.5933,1171841350704.8945,1178595682313.1694,49155953657.44009,46620849744.636696
1701,Bengkulu Selatan,Bengkulu,50237.54,256577374762.59268,257184311828.7279,257552836744.82565,257863743951.3188,255053696224.82895,255631866730.84415,255986648517.179,256288274754.79465,10289007326.674683,10226926074.631945
1709,Bengkulu Tengah,Bengkulu,5271.28,,,,,,,,,,
1703,Bengkulu Utara,Bengkulu,19728.24,,,,,,,,,,
1704,Kaur,Bengkulu,24207.7,,,,,,,,,,
1708,Kepahiang,Bengkulu,14986.45,,,,,,,,,,
1771,Bengkulu,Bengkulu,5809.92,,,,,,,,,,
1707,Lebong,Bengkulu,50510.99,253638946097.40033,253774380286.24792,253864059683.6312,253944899076.54913,259093237939.99716,258972745401.9861,258890728512.36194,258815216568.46497,10151531936.272615,10358355904.507914
1706,Muko Muko,Bengkulu,31370.91,151451961046.25418,151247511090.62546,151108681241.81247,150981100491.94525,156061678924.0017,155460572648.37823,155030343631.8389,154617822047.66956,6048969430.20004,6215092882.35409
1702,Rejang Lebong,Bengkulu,35899.06,171238581983.29227,171775570344.34055,172125315482.44592,172436618140.9409,179510735153.37277,179516287707.26508,179519289254.16565,179521477449.71555,6873078225.844186,7180656323.3240385
1705,Seluma,Bengkulu,43588.0,226513830734.46463,226545178717.33875,226565525757.10803,226583589044.3043,226657600000.0,226657600000.0,226657600000.0,226657600000.0,9061925317.471722,9066304000.0
3402,Bantul,DI Yogyakarta,130339.44,529336985619.9271,526309582775.0517,524249424142.5762,522353097091.0451,559929224346.2899,554087824257.1147,549964362959.7976,546047139539.8555,21038480670.60297,22132654487.776993
3403,Gunungkidul,DI Yogyakarta,198309.83,,,,,,,,,,
3471,Yogyakarta,DI Yogyakarta,43.09,,,,,,,,,,
3401,Kulon Progo,DI Yogyakarta,116055.76,,,,,,,,,,
3404,Sleman,DI Yogyakarta,116951.41,536376976152.01105,529049596243.5227,523749963833.181,518639231357.421,554106771070.6967,546942734458.26044,541638156029.74677,536420929186.9878,21119988035.340347,21833260480.12776
3101,Kepulauan Seribu,DKI Jakarta,0.0,,,,,,,,,,
3173,Jakarta Pusat,DKI Jakarta,0.0,,,,,,,,,,
3171,Jakarta Selatan,DKI Jakarta,0.0,,,,,,,,,,
3174,Jakarta Barat,DKI Jakarta,181.0,,,,,,,,,,
3175,Jakarta Utara,DKI Jakarta,1969.0,,,,,,,,,,
3172,Jakarta Timur,DKI Jakarta,187.0,,,,,,,,,,
7502,Boalemo,Gorontalo,29663.64,132524240720.53172,135605743240.68925,137432408253.49905,138944824515.06686,120932429577.45576,124337460206.98326,126363582213.16943,128041279246.57996,5431401593.449117,4981583811.310721
7503,Bone Bolango,Gorontalo,17790.18,,,,,,,,,,
7501,Gorontalo,Gorontalo,128971.46,584976654695.4901,597074215747.4182,604249726311.4269,610193833097.8981,533830023851.11884,547875692739.5346,556217473901.7994,563113012845.182,23911234425.342876,21947966510.73488
7505,Gorontalo Utara,Gorontalo,26667.8,,,,,,,,,,
7571,Gorontalo,Gorontalo,9632.18,,,,,,,,,,
7504,Pahuwato,Gorontalo,27409.27,,,,,,,,,,
1504,Batanghari,Jambi,22383.81,,,,,,,,,,
1508,Bungo,Jambi,17110.03,,,,,,,,,,
1501,Kerinci,Jambi,87517.43,448802363945.6936,448934322367.16254,449021448021.81177,449099811861.5294,448804071871.7237,448273336590.83746,447890532163.3535,447520499734.4255,17957908742.169575,17927908523.027607
1571,Jambi,Jambi,1298.62,,,,,,,,,,
1572,Sungai Penuh,Jambi,35880.87,,,,,,,,,,
1502,Merangin,Jambi,23019.21,,,,,,,,,,
1505,Muaro Jambi,Jambi,18599.51,,,,,,,,,,
1503,Sarolangun,Jambi,13470.68,67510228903.761604,67717315620.18789,67847307661.096794,67959793083.50047,68916892862.3193,68961076636.83028,68989720532.43942,69015153888.04243,2709359036.213712,2758608919.65146
1506,Tanjung Jabung Barat,Jambi,14339.58,71877884943.14989,71805775579.72298,71756490168.33345,71710971381.82347,69412875561.87448,68835825022.27846,68409631842.048904,67990086751.63915,2871894204.1467752,2749873792.950787
1507,Tanjung Jabung Timur,Jambi,24562.32,,,,,,,,,,
1509,Tebo,Jambi,19561.77,101721204000.0,101721204000.0,101721204000.0,101721204000.0,101394562194.13203,101325386597.79236,101272776224.29036,101219545171.89407,4068848160.0,4052545446.905787
3204,Bandung,Jawa Barat,289205.7,1361374635327.8816,1369389914249.4683,1374517527946.8616,1379019213741.9817,1328312000648.6323,1332720890314.0227,1335593464506.5818,1338157635012.9119,54803869786.789604,53325784522.33971
3217,Bandung Barat,Jawa Barat,153648.29,,,,,,,,,,
3216,Bekasi,Jawa Barat,555747.09,2269245773066.463,2281589800230.621,2289728386217.35,2297040443916.74,2124433484392.2236,2114428410450.059,2107998474055.611,2102405946108.148,91313414931.27992,84541590415.87505
3201,Bogor,Jawa Barat,299893.8,,,,,,,,,,
3207,Ciamis,Jawa Barat,305676.17,1523163110557.4255,1520739035492.2075,1519069857111.58,1517519435782.2336,1506733754131.4512,1500481647944.9348,1496062037022.054,1491870982383.1648,60817911545.325645,59986155433.347115
3203,Cianjur,Jawa Barat,617941.03,2967799412294.05,2969913061469.8384,2971319191014.9,2972591253373.1367,2928627385349.5205,2924760747417.2725,2922194582657.3467,2919892296116.828,118805382346.71924,116974487798.83087
3209,Cirebon,Jawa Barat,494699.98,938188033549.4923,969783406346.061,990654004040.2784,1009431479551.7352,681588175225.5377,655761114080.3103,638944526810.5977,624074064370.089,38919883819.87021,26132373128.53544
3205,Garut,Jawa Barat,441316.2,2089186847602.7283,2097495095907.5808,2102881124334.789,2107658016925.7876,2015085958350.8875,2019592178874.2727,2022509686379.3186,2025093385771.8442,83930950027.79984,80800473458.06042
3212,Indramayu,Jawa Barat,1482255.86,1975936211467.225,2071875225433.4248,2135393386600.3923,2192641502332.6406,886476142401.6777,754500603556.1139,669558463313.6262,595378393399.2186,83269128105.30525,29706386937.662025
3215,Karawang,Jawa Barat,1226880.08,5785023989115.8955,5818117928389.924,5839300156033.37,5857904120735.437,5654602660749.409,5660938991814.971,5665136379982.343,5668958594803.054,232841738910.42285,226463912688.1988
3273,Bandung,Jawa Barat,7186.11,,,,,,,,,,
3279,Banjar,Jawa Barat,31271.18,,,,,,,,,,
3275,Bekasi,Jawa Barat,1868.44,,,,,,,,,,
3271,Bogor,Jawa Barat,173.99,,,,,,,,,,
3277,Cimahi,Jawa Barat,338.03,,,,,,,,,,
3274,Cirebon,Jawa Barat,861.82,,,,,,,,,,
3276,Depok,Jawa Barat,72.13,,,,,,,,,,
3272,Sukabumi,Jawa Barat,13254.34,,,,,,,,,,
3278,Tasikmalaya,Jawa Barat,54233.66,,,,,,,,,,
3208,Kuningan,Jawa Barat,277583.76,1067197377729.8418,1061177633722.1497,1057095386200.0311,1053347751787.297,1020144699592.0966,998216417141.4203,983096009300.8821,969048335469.2694,42419835635.24199,39822799675.734215
3210,Majalengka,Jawa Barat,566087.34,1808787430590.4155,1825995670898.8684,1837388952678.9392,1847658043742.9631,1539553906747.3232,1510536974827.901,1491368319638.1836,1474199006062.127,73110527297.01944,60303933289.4321
3218,Pangandaran,Jawa Barat,148670.61,,,,,,,,,,
3214,Purwakarta,Jawa Barat,188731.69,867861549879.0724,870471877109.3174,872188325351.7078,873727325819.3552,850009361605.8595,848240714468.4147,847091612850.3743,846083754915.0636,34829291538.97963,33923023520.29326
3213,Subang,Jawa Barat,1038780.58,4724444035939.647,4763968192674.0205,4789205543941.743,4811329850762.405,4602800371328.403,4611526385605.886,4617304088355.009,4622550265519.443,190696916556.3776,184497184062.8485
3202,Sukabumi,Jawa Barat,508220.48,1800202327481.6812,1817303319070.1624,1828577995475.1812,1838707385985.2659,1835320826149.113,1846309775050.735,1853294810066.731,1859373636994.9724,72761148726.56757,73889828826.75082
3211,Sumedang,Jawa Barat,298163.0,1119645531413.2485,1136751069571.3923,1147852339465.3997,1157705775835.3567,1023160034864.873,1024045317893.2301,1024732139130.2045,1025445181556.3529,45534480504.27406,40968253500.983284
3206,Tasikmalaya,Jawa Barat,430961.73,1850250045576.7495,1866106232781.1326,1876384074732.4873,1885498379798.713,1681759777761.698,1690662014873.1765,1696481915759.3296,1701677106346.2205,74703655203.93538,67661123071.21281
3304,Banjarnegara,Jawa Tengah,109047.94,563408249941.0707,562795565282.9518,562346873976.9897,561909910859.7352,564728164477.9061,564142654380.0288,563709863174.1296,563286199642.206,22508160346.489048,22562103763.367973
3302,Banyumas,Jawa Tengah,275622.59,1423919471568.934,1422698853911.983,1421821457117.9114,1420979149319.2114,1425955182330.0264,1424612108285.2712,1423641927675.0654,1422709072992.9568,56901103226.54686,56976832379.93056
3325,Batang,Jawa Tengah,130915.33,,,,,,,,,,
3316,Blora,Jawa Tengah,481758.33,2440331380724.076,2438612217762.6045,2437438117298.917,2436354393394.439,2461603198171.305,2457747756430.286,2455040777356.6724,2452494341784.2827,97536482765.83223,98290034939.51071
3309,Boyolali,Jawa Tengah,293909.04,1483810350968.2715,1482509609477.9888,1481619326196.4841,1480796195586.3474,1498559588362.0554,1496441346222.5276,1494964530303.0938,1493581066943.9414,59294275630.528854,59846999787.99081
3329,Brebes,Jawa Tengah,442225.87,1981846777560.774,1976557915350.8333,1972968700254.0237,1969671827932.6907,1973866076455.5845,1956483333360.0613,1944539890127.727,1933489110036.2954,79038288903.43126,78176653656.23265
3301,Cilacap,Jawa Tengah,761355.92,3909538370209.9053,3903320256238.9966,3898810432960.402,3894451155877.9263,3910461497111.86,3902450921550.984,3896560201629.057,3890810308172.564,156096829100.51273,156049532564.62375
3321,Demak,Jawa Tengah,615685.96,3099141890217.6143,3105307500153.8643,3109248209050.063,3112705577579.7656,3125016138301.725,3126108797371.905,3126861368514.2373,3127569212446.064,124233956119.94296,125049668778.83217
3315,Grobogan,Jawa Tengah,778895.15,3917740506448.101,3920874760827.3457,3922936453796.447,3924785524665.993,3958939693463.692,3956767884512.295,3955333772400.8594,3954054216608.1685,156847516779.92474,158261964897.7854
3320,Jepara,Jawa Tengah,203279.05,1008908804493.138,1008826408603.529,1008771145177.5214,1008720837744.3389,1017892358765.6477,1015689102462.5234,1014170329466.681,1012762368477.8855,40352699199.61486,40616959339.67298
3313,Karanganyar,Jawa Tengah,268582.78,1375050830844.793,1373505417775.6514,1372419278438.292,1371394453001.6611,1383877572423.4795,1382112289904.3372,1380835961630.6758,1379605131201.796,54932204973.60067,55274383684.25783
3305,Kebumen,Jawa Tengah,424840.1,2184605068844.2717,2181106715920.043,2178548964722.4548,2176061254572.455,2192105203482.045,2188799423171.0405,2186357560560.052,2183966266014.1807,87223471927.0302,87531667728.96573
3324,Kendal,Jawa Tengah,161073.29,805469988416.8746,807127361200.8068,808193352747.9176,809133110850.0236,813545477631.8636,813709536385.0846,813828079814.6134,813944743698.3081,32291088900.114353,32549335666.49997
3310,Klaten,Jawa Tengah,338083.63,1500926630536.6882,1478343904109.3088,1462179287921.0522,1446714479904.2085,1571823084063.378,1548764248145.718,1531794505045.7769,1515184035777.8813,59008860529.7044,61810338853.630936
3371,Magelang,Jawa Tengah,725.68,,,,,,,,,,
3375,Pekalongan,Jawa Tengah,7052.69,,,,,,,,,,
3373,Salatiga,Jawa Tengah,3382.08,,,,,,,,,,
3374,Semarang,Jawa Tengah,15201.27,,,,,,,,,,
3372,Surakarta,Jawa Tengah,135.08,,,,,,,,,,
3376,Tegal,Jawa Tengah,3215.28,,,,,,,,,,
3319,Kudus,Jawa Tengah,195692.08,968246197587.4844,968149321240.7444,968084332737.3923,968025163337.9567,979523160001.0996,977412165512.1952,975963721884.8467,974626789242.0253,38725552599.75085,39086511382.46688
3308,Magelang,Jawa Tengah,169112.19,831039707853.5153,825389899206.6288,821264971862.3229,817257779455.56,845192127370.0054,839925716072.0917,836000734875.5408,832125025532.0988,32982169797.722084,33563688072.51045
3318,Pati,Jawa Tengah,587469.44,2929498547065.313,2925890728056.258,2923420811498.6807,2921136796479.5547,2963710968944.83,2955705954379.9316,2950073114110.6577,2944766837607.3457,117018670458.84332,118186651781.28395
3326,Pekalongan,Jawa Tengah,164951.88,600569919104.0516,593575183445.2029,588792042338.7913,584372953348.6211,632398101584.452,619073782433.9065,609847119285.6147,601253301352.7306,23710273954.869236,24697637816.107147
3327,Pemalang,Jawa Tengah,390777.57,1317371046823.7317,1328190067703.784,1335352660834.6719,1341808180795.0942,1367426179117.5452,1355553787929.9788,1347714874937.4224,1340707305491.8813,53172040036.03711,54174238748.06769
3303,Purbalingga,Jawa Tengah,154076.91,789498315947.342,788124162801.7476,787130384312.2734,786171899640.7922,791841633348.7168,790352488255.1368,789265175378.7615,788210480291.7693,31517091973.483364,31605298422.3867
3306,Purworejo,Jawa Tengah,279100.57,1350240502799.3464,1334547099724.258,1322775144622.1682,1311100577890.6519,1371934081548.388,1357535441171.5461,1346564714028.044,1335541352859.2864,53280516726.069244,54203679615.29642
3317,Rembang,Jawa Tengah,179211.77,895188506617.5616,892966857879.8754,891410135897.2101,889944698380.982,906979297790.192,903830380592.5668,901551556134.9512,899356625182.52,35707281910.2183,36135157512.147675
3322,Semarang,Jawa Tengah,137763.91,,,,,,,,,,
3314,Sragen,Jawa Tengah,626632.73,3197066169654.725,3194999671629.1113,3193582370539.4214,3192269912467.666,3219840235667.3467,3216306344349.002,3213819213450.9937,3211472154927.1636,127790205122.57297,128633856314.00659
3311,Sukoharjo,Jawa Tengah,308529.08,1420442114937.366,1400302003042.5112,1385658297139.837,1371479507355.98,1473730817479.639,1454112771870.086,1439429025849.5276,1424871109133.2375,55894574123.62188,58038529723.57656
3328,Tegal,Jawa Tengah,341113.01,1530892111058.0476,1526676240654.546,1523813610840.3767,1521183027438.3984,1543787813785.306,1531079355581.0847,1522317047353.3706,1514186445130.7207,61047854799.190475,61181909966.31133
3323,Temanggung,Jawa Tengah,56887.24,284163471513.9704,284242783663.29376,284295630741.01776,284343497253.3011,287542807912.0567,287281189139.20465,287104906766.4321,286944452213.71454,11370045996.790361,11490096335.836094
3312,Wonogiri,Jawa Tengah,383143.3,1919165350520.6492,1913261359201.7014,1909065308007.331,1905072113467.7993,1942681202996.3618,1935912095889.9006,1930929602391.3271,1926052798121.062,76498601151.56526,77395299874.29019
3307,Wonosobo,Jawa Tengah,66996.75,,,,,,,,,,
3526,Bangkalan,Jawa Timur,198122.7,944826285063.3096,937638191144.2666,932506643483.8619,927606730930.3688,985158029466.9128,978439989145.1908,973444413844.3774,968521246577.0951,37466135982.18057,39095384168.64168
3510,Banyuwangi,Jawa Timur,462206.0,2269406814958.1475,2261777936546.489,2256442304820.1113,2251426777755.296,2314918470779.033,2302400435139.949,2293050514456.852,2283778165445.0044,90432263080.62677,92016042508.65941
3505,Blitar,Jawa Timur,215482.8,1034535690684.168,1024277596033.3552,1016769286491.5138,1009461645589.0339,1051879420945.2708,1039326495624.7219,1029730666819.391,1020061510629.6061,40909906658.397354,41486967552.78591
3522,Bojonegoro,Jawa Timur,704288.9,3547104403705.197,3538756460012.085,3532861493553.482,3527279090372.6733,3588559807572.189,3578089664056.9653,3570411667377.4927,3562929014644.636,141506236518.2698,143060739478.10876
3511,Bondowoso,Jawa Timur,238677.7,1215636218739.0837,1213819984988.7302,1212541314696.647,1211333240503.6763,1231198874776.2747,1229364175031.5657,1227993888039.398,1226635771922.801,48543325163.320694,49162852881.01103
3525,Gresik,Jawa Timur,411242.2,2020556213246.0115,2009368501643.9998,2001325687535.7905,1993604442473.0615,2071427029891.9382,2059874812603.7595,2051172293792.3872,2042508837568.6694,80311926254.71786,82319332701.29556
,,Jawa Timur,,,,,,,,,,,
,,Jawa Timur,,,,,,,,,,,
3509,Jember,Jawa Timur,607371.2,2918647933644.3403,2888916217311.006,2867082712220.451,2845779197873.0146,3000465575690.2637,2966022230037.556,2939076055158.2446,2911424548497.2935,115377338678.98322,118387569488.21298
3517,Jombang,Jawa Timur,337172.1,1710740182163.5652,1707574123332.2905,1705338189682.2288,1703220654013.9944,1723813365040.9336,1719356895101.266,1716052200499.0417,1712797679244.4822,68286263767.175804,68746488435.63205
3506,Kediri,Jawa Timur,168853.6,821626905196.1458,817181628357.3049,814021592231.8849,811013901235.3722,834159713590.8387,828198178557.2063,823774872866.6589,819415975422.9034,32663263523.82372,33090680625.160076
3579,Batu,Jawa Timur,6762.57,,,,,,,,,,
3572,Blitar,Jawa Timur,5212.13,,,,,,,,,,
3571,Kediri,Jawa Timur,10197.5,46688445045.584206,46177914265.19627,45814358400.19916,45467892872.716156,48069036862.57515,47419965117.56305,46939317178.07483,46466478121.47983,1844343281.7443929,1892769729.6641548
3577,Madiun,Jawa Timur,11453.92,,,,,,,,,,
3573,Malang,Jawa Timur,10771.15,,,,,,,,,,
3576,Mojokerto,Jawa Timur,5032.96,,,,,,,,,,
3575,Pasuruan,Jawa Timur,7293.69,,,,,,,,,,
3574,Probolinggo,Jawa Timur,8103.92,,,,,,,,,,
3578,Surabaya,Jawa Timur,8117.31,,,,,,,,,,
3524,Lamongan,Jawa Timur,903882.3,4449975625216.066,4437430753237.693,4428701376533.101,4420527598519.245,4561921773776.224,4544854910385.805,4532428845823.032,4520383889852.827,177434521752.6256,181694159389.10336
3508,Lumajang,Jawa Timur,300829.0,1420567948560.5452,1402087232141.1504,1388469868807.0974,1375149318915.9075,1468052732906.9536,1446712976001.815,1429982972185.57,1412794998865.669,55970792150.590836,57710650738.64101
