kategori_bencana,kabupaten,SUM(jumlah_kejadian)
Banjir,Nganjuk,53.0
Banjir,Hulu Sungai Utara,26.267857000231743
Kekeringan,Lampung Timur,4.0
Banjir,Banggai Laut,8.0
Kekeringan,Mandailing Natal,1.0
Banjir,Kota Banjar,12.0
Kekeringan,Penukal Abab Lematang Ilir,1.0
Banjir,Nias Barat,8.0
Kekeringan,Banjar,3.0
Kekeringan,Kota Kupang,2.0
Banjir,Batanghari,31.0
Banjir,Tapanuli Tengah,20.0
Kekeringan,Sragen,20.11111111111111
Banjir,Manggarai,14.0
Banjir,Kota Blitar,2.0
Kekeringan,Ngawi,12.0
Banjir,Majalengka,52.333333333333336
Kekeringan,Jembrana,6.0
Banjir,Pesawaran,42.0
Banjir,Pacitan,26.0
Banjir,Musi Rawas Utara,30.0
Kekeringan,Merangin,7.0
Banjir,Wonosobo,19.0
Banjir,Kota Cilegon,42.16666699945927
Kekeringan,Gunungkidul,12.0
Banjir,Kotawaringin Barat,47.0
Banjir,Belitung Timur,8.0
Banjir,Aceh Tenggara,91.5
Kekeringan,Kuningan,12.0
Kekeringan,Buton,1.0
Kekeringan,Jeneponto,14.0
Kekeringan,Pesisir Selatan,1.0
Banjir,Kota Adm. Jakarta Utara,24.583332997560497
Kekeringan,Kota Adm. Jakarta Barat,1.0
Kekeringan,Bangli,2.0
Banjir,Sijunjung,31.0
Kekeringan,Bojonegoro,37.0
Kekeringan,Sambas,2.0
Banjir,Kota Adm. Jakarta Timur,105.49999931653343
Banjir,Kota Bukittinggi,20.0
Banjir,Bener Meriah,12.0
Banjir,Pasangkayu,22.0
Banjir,Malinau,29.0
Banjir,Kota Banda Aceh,2.0
Banjir,Samosir,9.0
Banjir,Kota Palopo,35.0
Banjir,Kota Serang,34.8666670024395
Banjir,Bone Bolango,53.0
Kekeringan,Bogor,47.0
Banjir,Siak,24.0
Kekeringan,Tulungagung,9.0
Banjir,Kota Pekanbaru,43.14285700023174
Kekeringan,Seram Bagian Barat,1.0
Banjir,Lima Puluh Kota,65.83333298563957
Banjir,Demak,91.5
Banjir,Pulau Morotai,23.0
Banjir,Kota Langsa,23.0
Kekeringan,Klaten,8.11111111111111
Banjir,Belitung,11.0
Kekeringan,Gorontalo,14.25
Banjir,Kota Lhokseumawe,21.5
Kekeringan,Klungkung,2.0
Kekeringan,Banjarnegara,9.0
Kekeringan,Mahakam Ulu,1.0
Kekeringan,Kepulauan Selayar,3.0
Kekeringan,Kota Bau Bau,4.0
Kekeringan,Ogan Komering Ulu,2.0
Banjir,Penajam Paser Utara,84.99999999999997
Banjir,Kutai Barat,31.333332985639565
Kekeringan,Kutai Kartanegara,1.0
Banjir,Karangasem,14.125
Banjir,Minahasa,19.700000002980232
Banjir,Indragiri Hilir,28.142857000231743
Banjir,Manokwari Selatan,9.0
Kekeringan,Lombok Barat,8.0
Kekeringan,Sikka,4.0
Banjir,Kota Payakumbuh,7.0
Banjir,Kota Depok,33.2
Banjir,Sikka,30.0
Banjir,Timor Tengah Utara,22.0
Banjir,Grobogan,119.5
Banjir,Lamandau,37.0
Banjir,Kota Lubuk Linggau,16.0
Banjir,Kota Tanjung Balai,14.0
Banjir,Cianjur,71.0
Banjir,Kota Sungai Penuh,38.0
Banjir,Muara Enim,63.0
Kekeringan,Kota Samarinda,2.0
Banjir,Minahasa Tenggara,11.0
Kekeringan,Blora,8.0
Banjir,Toli Toli,80.0
Banjir,Donggala,68.0
Banjir,Kepulauan Mentawai,34.0
Kekeringan,Pulang Pisau,1.0
Banjir,Buol,40.99999999999999
Kekeringan,Kota Prabumulih,1.0
Kekeringan,Kota Bima,6.0
Banjir,Bolaang Mongondow Utara,14.0
Banjir,Kota Tanjung Pinang,12.0
Kekeringan,Aceh Utara,6.0
Banjir,Solok Selatan,40.0
Kekeringan,Badung,1.0
Kekeringan,Serdang Bedagai,1.0
Banjir,Musi Banyuasin,70.33333298563957
Kekeringan,Pamekasan,3.0
Banjir,Dogiyai,3.0
Banjir,Kayong Utara,9.0
Banjir,Rokan Hulu,91.39285700023174
Banjir,Kota Bontang,16.0
Banjir,Jayawijaya,4.0
Banjir,Blora,65.0
Banjir,Murung Raya,36.0
Kekeringan,Barito Timur,1.0
Banjir,Brebes,101.0
Banjir,Sumba Barat Daya,5.0
Banjir,Jembrana,25.125
Banjir,Kota Solok,20.5
Banjir,Kota Tual,2.0
Banjir,Barru,21.0
Banjir,Sumedang,75.5
Kekeringan,Maros,5.0
Kekeringan,Kuantan Singingi,1.0
Kekeringan,Kendal,4.111111111111111
Banjir,Agam,52.5
Banjir,Tegal,71.0
Banjir,Aceh Selatan,96.8666670024395
Kekeringan,Tanjung Jabung Barat,1.0
Banjir,Sarolangun,41.5
Kekeringan,Bengkulu Tengah,1.0
Banjir,Kota Tasikmalaya,22.0
Banjir,Luwu,103.5
Banjir,Pasaman,55.33333298563957
Kekeringan,Kota Banda Aceh,1.0
Kekeringan,Bintan,1.0
Banjir,Karanganyar,24.416666999459267
Banjir,Aceh Tengah,38.0
Kekeringan,Kota Banjar,7.0
Kekeringan,Kota Pangkal Pinang,0.25
Banjir,Kota Denpasar,7.125
Kekeringan,Cilacap,27.0
Banjir,Kota Bima,46.5
Banjir,Sukamara,12.0
Banjir,Kota Sibolga,6.0
Banjir,Sumbawa Barat,42.0
Banjir,Pegunungan Bintang,5.0
Banjir,Mandailing Natal,48.0
Banjir,Kotabaru,17.125
Kekeringan,Kota Palopo,3.0
Banjir,Kepulauan Sula,20.0
Kekeringan,Mamuju Tengah,1.0
Banjir,Kota Batam,10.0
Kekeringan,Kerinci,10.0
Banjir,Seram Bagian Barat,47.0
Banjir,Dairi,11.0
Banjir,Mimika,4.0
Banjir,Pidie Jaya,21.0
Banjir,Polewali Mandar,41.0
Banjir,Manggarai Timur,8.0
Banjir,Lampung Timur,42.0
Banjir,Malang,55.0
Banjir,Soppeng,21.74999998509884
Banjir,Rote Ndao,21.0
Kekeringan,Magetan,12.0
Kekeringan,Pangandaran,2.0
Kekeringan,Purwakarta,9.0
Banjir,Kepulauan Aru,5.0
Kekeringan,Bombana,2.0
Banjir,Langkat,77.0
Banjir,Tanah Datar,15.5
Banjir,Tanah Bumbu,43.125
Banjir,Buleleng,35.0
Banjir,Mojokerto,108.0
Banjir,Bandung,333.0
Banjir,Garut,116.0
Banjir,Padang Pariaman,57.0
Kekeringan,Penajam Paser Utara,2.0
Kekeringan,Lombok Timur,7.0
Kekeringan,Kota Tomohon,1.0
Kekeringan,Rembang,12.0
Banjir,Wonogiri,83.16666699945927
Kekeringan,Kaur,1.0
Kekeringan,Subang,11.0
Banjir,Indramayu,64.0
Kekeringan,Kota Pekalongan,1.0
Banjir,Bojonegoro,162.66666699945927
Banjir,Kota Banjarbaru,27.0
Kekeringan,Lembata,2.0
Banjir,Intan Jaya,1.0
Banjir,Paser,55.0
Kekeringan,Dharmasraya,1.0
Banjir,Lombok Utara,18.0
Kekeringan,Muko Muko,1.0
Banjir,Pesisir Selatan,69.0
Banjir,Kota Palangkaraya,24.0
Banjir,Humbang Hasundutan,6.0
Kekeringan,Bekasi,17.0
Kekeringan,Buleleng,5.0
Banjir,Padang Lawas Utara,7.0
Banjir,Kota Prabumulih,22.0
Banjir,Keerom,15.0
Banjir,Nias Selatan,12.0
Banjir,Musi Rawas,49.33333298563957
Kekeringan,Gowa,3.0
Kekeringan,Lampung Selatan,11.0
Banjir,Kota Ambon,31.0
Kekeringan,Banyuwangi,2.0
Banjir,Pulang Pisau,50.0
Banjir,Labuhanbatu Utara,30.0
Kekeringan,Boyolali,8.0
Banjir,Konawe Selatan,31.0
Banjir,Karo,14.0
Banjir,Morowali Utara,41.0
Kekeringan,Kota Bengkulu,2.0
Banjir,Jayapura,27.999999999999996
Kekeringan,Sumba Barat,2.0
Banjir,Sigi,69.0
Banjir,Buton Utara,33.0
Kekeringan,Lampung Barat,4.0
Kekeringan,Karangasem,6.0
Kekeringan,Sumbawa,15.0
Banjir,Aceh Barat,60.3666670024395
Kekeringan,Madiun,6.0
Banjir,Lamongan,79.16666699945927
Banjir,Tapanuli Selatan,55.0
Kekeringan,Bondowoso,4.0
Banjir,Kota Bekasi,48.2
Banjir,Bangkalan,35.0
Kekeringan,Bireuen,9.0
Banjir,Kuningan,53.0
Kekeringan,Kolaka,4.0
Banjir,Kulon Progo,18.333332985639572
Banjir,Pakpak Bharat,3.0
Kekeringan,Bantaeng,7.0
Banjir,Kota Tarakan,5.0
Kekeringan,Belitung,0.25
Kekeringan,Dompu,8.0
Banjir,Konawe Utara,18.0
Banjir,Mesuji,22.0
Banjir,Jeneponto,11.166666999459267
Banjir,Tuban,84.16666699945927
Banjir,Pati,138.33333298563957
Banjir,Semarang,55.0
Kekeringan,Pekalongan,9.0
Kekeringan,Aceh Tengah,1.0
Banjir,Malaka,18.0
Banjir,Aceh Besar,43.25
Banjir,Yahukimo,1.0
Banjir,Cilacap,203.0
Banjir,Ogan Komering Ulu Timur,31.0
Banjir,Kediri,30.166666999459267
Kekeringan,Musi Rawas,4.0
Banjir,Boyolali,39.33333298563957
Kekeringan,Hulu Sungai Utara,2.0
Kekeringan,Belu,6.0
Banjir,Flores Timur,17.0
Banjir,Kota Tomohon,1.2000000029802322
Banjir,Banggai Kepulauan,10.0
Banjir,Dharmasraya,33.0
Banjir,Bima,150.0
Banjir,Aceh Timur,81.0
Kekeringan,Tapin,1.0
Banjir,Buton,10.0
Kekeringan,Karanganyar,7.0
Banjir,Seruyan,23.0
Kekeringan,Batanghari,6.0
Banjir,Tulang Bawang,28.0
Banjir,Sukoharjo,35.41666699945927
Banjir,Kota Tangerang Selatan,65.66666666666666
Banjir,Gianyar,3.125
Kekeringan,Lampung Utara,3.0
Banjir,Luwu Utara,110.99999999999999
Banjir,Sukabumi,115.5
Kekeringan,Kota Bandung,1.0
Kekeringan,Mamasa,1.0
Banjir,Poso,79.5
Banjir,Kota Ternate,17.0
Banjir,Kota Jayapura,17.0
Banjir,Sumenep,32.0
Banjir,Mamuju Tengah,38.0
Banjir,Ende,23.0
Banjir,Minahasa Selatan,9.700000002980232
Banjir,Kolaka,36.0
Kekeringan,Sumba Tengah,3.0
Banjir,Kepulauan Yapen,10.0
Banjir,Aceh Utara,76.0
Kekeringan,Magelang,10.0
Banjir,Barito Timur,9.0
Banjir,Kota Bengkulu,31.0
Kekeringan,Aceh Tamiang,6.0
Banjir,Kota Cirebon,29.0
Banjir,Kebumen,55.0
Banjir,Mempawah,16.0
Kekeringan,Aceh Selatan,1.0
Banjir,Nias,14.0
Kekeringan,Flores Timur,2.0
Kekeringan,Cianjur,13.0
Banjir,Tanjung Jabung Barat,15.0
Banjir,Gayo Lues,37.0
Banjir,Muna Barat,6.0
Banjir,Ciamis,79.0
Banjir,Ogan Komering Ulu Selatan,46.0
Kekeringan,Temanggung,10.11111111111111
Banjir,Way Kanan,15.0
Kekeringan,Malaka,2.0
Banjir,Kota Tegal,37.0
Banjir,Kota Pariaman,9.0
Kekeringan,Padang Lawas Utara,4.0
Banjir,Muna,10.0
Banjir,Klungkung,2.125
Banjir,Asahan,68.0
Kekeringan,Gorontalo Utara,0.25
Kekeringan,Tuban,13.0
Banjir,Simalungun,15.0
Banjir,Labuhanbatu Selatan,18.0
Banjir,Kota Pematangsiantar,15.0
Kekeringan,Indramayu,11.0
Banjir,Kolaka Utara,40.0
Banjir,Subang,62.0
Kekeringan,Sarolangun,3.0
Banjir,Kota Yogyakarta,13.0
Kekeringan,Gresik,9.0
Kekeringan,Solok,2.0
Kekeringan,Luwu,5.0
Kekeringan,Ogan Komering Ulu Selatan,3.0
Kekeringan,Luwu Utara,1.0
Banjir,Muko Muko,13.0
Banjir,Kep. Siau Tagulandang Biaro,11.0
Banjir,Kepulauan Selayar,8.0
Kekeringan,Pati,12.0
Kekeringan,Rote Ndao,4.0
Banjir,Bandung Barat,33.0
Banjir,Mappi,3.0
Kekeringan,Alor,2.0
Banjir,Kota Pagar Alam,11.0
Banjir,Seluma,42.0
Banjir,Kampar,82.39285700023174
Banjir,Bangli,6.125
Banjir,Kerinci,58.0
Banjir,Lumajang,52.0
Banjir,Klaten,59.41666699945927
Banjir,Sabu Raijua,2.0
Banjir,Kota Sabang,8.0
Kekeringan,Kota Bandar Lampung,7.0
Banjir,Pringsewu,13.0
Kekeringan,Tegal,16.0
Kekeringan,Bandung,19.0
Banjir,Rokan Hilir,30.0
Kekeringan,Sukabumi,14.0
Kekeringan,Kota Kediri,2.0
Banjir,Ketapang,50.0
Banjir,Maluku Tengah,31.0
Banjir,Fak Fak,3.0
Kekeringan,Kota Serang,6.0
Kekeringan,Nagekeo,2.0
Banjir,Kapuas Hulu,51.33333298563957
Kekeringan,Tabalong,1.0
Kekeringan,Bangkalan,6.0
Banjir,Halmahera Barat,28.0
Kekeringan,Pidie Jaya,1.0
Kekeringan,Banyuasin,1.0
Banjir,Kuantan Singingi,55.14285700023174
Banjir,Kota Cimahi,23.0
Banjir,Lebong,18.0
Banjir,Kota Bandung,34.0
Banjir,Balangan,97.26785700023174
Banjir,Tabanan,8.125
Banjir,Mamberamo Raya,4.0
Kekeringan,Kotawaringin Timur,1.0
Kekeringan,Tanah Bumbu,1.0
Banjir,Madiun,55.0
Banjir,Asmat,2.0
Kekeringan,Bengkalis,1.0
Banjir,Belu,37.33333298563957
Banjir,Sekadau,32.33333298563957
Banjir,Kota Surabaya,16.0
Kekeringan,Bone,8.0
Banjir,Lampung Tengah,23.0
Banjir,Kota Pasuruan,52.0
Banjir,Aceh Singkil,49.20000000298023
Kekeringan,Sijunjung,2.0
Banjir,Kota Sorong,11.0
Banjir,Kota Padang,40.33333298563957
Banjir,Kendal,83.0
Banjir,Sumba Timur,26.333332985639572
Banjir,Mahakam Ulu,7.000000000000001
Banjir,Temanggung,32.0
Banjir,Tasikmalaya,45.0
Banjir,Teluk Bintuni,14.0
Banjir,Labuhanbatu,23.0
Banjir,Landak,53.0
Banjir,Badung,25.125
Kekeringan,Tanggamus,7.0
Kekeringan,Lumajang,3.0
Kekeringan,Balangan,1.0
Banjir,Tana Tidung,2.0
Banjir,Indragiri Hulu,48.39285700023174
Banjir,Bengkulu Selatan,13.0
Banjir,Probolinggo,51.0
Kekeringan,Bengkulu Utara,3.0
Banjir,Serdang Bedagai,61.0
Banjir,Nagekeo,13.0
